Model_name,Rating,Day,Month,Year
Model_1,3,20,10,2024
Model_1,4,20,10,2024
Model_1,3,20,10,2024
Model_1,4,20,10,2024
Model_1,3,20,10,2024
Model_1,4,20,10,2024
Model_1,3,20,10,2024
Model_1,3,20,10,2024
Model_1,3,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,1,20,10,2024
Model_1,1,20,10,2024
Model_1,1,20,10,2024
Model_1,4,20,10,2024
Model_1,4,20,10,2024
Model_1,4,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_2,5,20,10,2024
Model_2,5,20,10,2024
Model_2,3,20,10,2024
Model_2,3,20,10,2024
Model_2,3,20,10,2024
Model_2,2,20,10,2024
Model_2,2,20,10,2024
Model_2,2,20,10,2024
Model_2,4,20,10,2024
Model_2,4,20,10,2024
Model_2,4,20,10,2024
Model_2,5,20,10,2024
Model_2,5,20,10,2024
Model_3,3,20,10,2024
Model_3,3,20,10,2024
Model_3,2,20,10,2024
Model_3,2,20,10,2024
Model_3,2,20,10,2024
Model_3,4,20,10,2024
Model_3,4,20,10,2024
Model_3,4,20,10,2024
Model_3,2,20,10,2024
Model_3,2,20,10,2024
Model_3,2,20,10,2024
Model_3,2,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
Model_1,5,20,10,2024
