Rating,Day,Month,Year
4,1,6,2024
1,1,6,2024
3,1,6,2024
1,2,6,2024
3,2,6,2024
4,2,6,2024
3,3,6,2024
2,3,6,2024
1,3,6,2024
3,4,6,2024
4,4,6,2024
3,4,6,2024
1,5,6,2024
1,5,6,2024
4,5,6,2024
2,6,6,2024
1,6,6,2024
5,6,6,2024
3,7,6,2024
4,7,6,2024
5,7,6,2024
4,8,6,2024
3,8,6,2024
3,8,6,2024
5,9,6,2024
1,9,6,2024
5,9,6,2024
3,10,6,2024
5,10,6,2024
4,10,6,2024
3,11,6,2024
3,11,6,2024
3,11,6,2024
4,12,6,2024
5,12,6,2024
1,12,6,2024
3,13,6,2024
2,13,6,2024
1,13,6,2024
4,14,6,2024
4,14,6,2024
4,14,6,2024
2,15,6,2024
4,15,6,2024
4,15,6,2024
2,16,6,2024
3,16,6,2024
4,16,6,2024
5,17,6,2024
5,17,6,2024
1,17,6,2024
3,18,6,2024
4,18,6,2024
3,18,6,2024
3,19,6,2024
3,19,6,2024
2,19,6,2024
3,20,6,2024
4,20,6,2024
4,20,6,2024
5,21,6,2024
2,21,6,2024
1,21,6,2024
5,22,6,2024
4,22,6,2024
5,22,6,2024
4,23,6,2024
2,23,6,2024
1,23,6,2024
3,24,6,2024
5,24,6,2024
3,24,6,2024
1,25,6,2024
2,25,6,2024
5,25,6,2024
1,26,6,2024
4,26,6,2024
5,26,6,2024
4,27,6,2024
5,27,6,2024
4,27,6,2024
2,28,6,2024
5,28,6,2024
1,28,6,2024
2,29,6,2024
1,29,6,2024
4,29,6,2024
5,30,6,2024
1,30,6,2024
4,30,6,2024
3,1,7,2024
5,1,7,2024
5,1,7,2024
4,2,7,2024
4,2,7,2024
5,2,7,2024
2,3,7,2024
4,3,7,2024
3,3,7,2024
1,4,7,2024
4,4,7,2024
4,4,7,2024
1,5,7,2024
1,5,7,2024
3,5,7,2024
5,6,7,2024
5,6,7,2024
2,6,7,2024
1,7,7,2024
5,7,7,2024
2,7,7,2024
2,8,7,2024
3,8,7,2024
5,8,7,2024
3,9,7,2024
3,9,7,2024
1,9,7,2024
2,10,7,2024
3,10,7,2024
2,10,7,2024
1,11,7,2024
1,11,7,2024
3,11,7,2024
3,12,7,2024
3,12,7,2024
3,12,7,2024
3,13,7,2024
2,13,7,2024
5,13,7,2024
3,14,7,2024
4,14,7,2024
1,14,7,2024
5,15,7,2024
5,15,7,2024
5,15,7,2024
1,16,7,2024
2,16,7,2024
1,16,7,2024
3,17,7,2024
1,17,7,2024
5,17,7,2024
4,18,7,2024
5,18,7,2024
5,18,7,2024
2,19,7,2024
3,19,7,2024
5,19,7,2024
5,20,7,2024
3,20,7,2024
3,20,7,2024
1,21,7,2024
4,21,7,2024
4,21,7,2024
1,22,7,2024
5,22,7,2024
1,22,7,2024
1,23,7,2024
4,23,7,2024
3,23,7,2024
3,24,7,2024
3,24,7,2024
4,24,7,2024
4,25,7,2024
1,25,7,2024
4,25,7,2024
5,26,7,2024
5,26,7,2024
2,26,7,2024
4,27,7,2024
4,27,7,2024
2,27,7,2024
1,28,7,2024
3,28,7,2024
2,28,7,2024
1,29,7,2024
5,29,7,2024
3,29,7,2024
3,30,7,2024
